 year_start:        1998 ,year_end:        1999
 day_start:           1 , day_end:         730
 cdoms,Kds,pars,mxls, dmxldt_day
  0.3330E+01,  0.3910E-01,  0.6660E+02,  0.1195E+03,  0.4245E+01
  0.5481E+01,  0.3080E-01,  0.6675E+02,  0.1237E+03,  0.1242E+01
  0.4687E+01,  0.3476E-01,  0.6672E+02,  0.1250E+03,  0.0000E+00
  0.3894E+01,  0.3873E-01,  0.6669E+02,  0.1248E+03,  0.1177E+01
  0.3993E+01,  0.3316E-01,  0.6658E+02,  0.1260E+03,  0.1605E+01
  0.4093E+01,  0.2760E-01,  0.6647E+02,  0.1276E+03,  0.1122E+01
  0.3737E+01,  0.2830E-01,  0.6638E+02,  0.1287E+03,  0.5324E+00
  0.3381E+01,  0.2900E-01,  0.6628E+02,  0.1293E+03,  0.1160E+00
  0.1868E+01,  0.2710E-01,  0.6471E+02,  0.1294E+03,  0.2658E-01
  0.4170E+01,  0.2520E-01,  0.6622E+02,  0.1294E+03,  0.1349E+01
  0.3943E+01,  0.2610E-01,  0.6174E+02,  0.1307E+03,  0.8607E+00
  0.3715E+01,  0.2700E-01,  0.6585E+02,  0.1316E+03,  0.1715E+01
  0.1221E+00,  0.2751E-01,  0.6571E+02,  0.1333E+03,  0.0000E+00
  0.7722E+00,  0.2802E-01,  0.6546E+02,  0.1322E+03,  0.0000E+00
  0.1422E+01,  0.2853E-01,  0.6522E+02,  0.1313E+03,  0.1357E+00
  0.2072E+01,  0.2904E-01,  0.6536E+02,  0.1314E+03,  0.2677E+00
  0.2722E+01,  0.2955E-01,  0.6550E+02,  0.1317E+03,  0.9229E+00
  0.3508E+01,  0.3212E-01,  0.6530E+02,  0.1326E+03,  0.4793E+01
  0.4293E+01,  0.3470E-01,  0.6509E+02,  0.1374E+03,  0.1396E+01
  0.2497E+01,  0.2740E-01,  0.6489E+02,  0.1388E+03,  0.6878E+00
  0.7012E+00,  0.3050E-01,  0.6487E+02,  0.1395E+03,  0.4001E+01
  0.3301E+01,  0.3360E-01,  0.6442E+02,  0.1435E+03,  0.7985E+00
  0.3423E+01,  0.3304E-01,  0.6149E+02,  0.1443E+03,  0.0000E+00
  0.3544E+01,  0.3247E-01,  0.6429E+02,  0.1438E+03,  0.0000E+00
  0.4317E+01,  0.2854E-01,  0.6412E+02,  0.1399E+03,  0.0000E+00
  0.5090E+01,  0.2460E-01,  0.6396E+02,  0.1361E+03,  0.3140E+01
  0.4113E+01,  0.2613E-01,  0.6376E+02,  0.1392E+03,  0.1388E+01
  0.3135E+01,  0.2765E-01,  0.6357E+02,  0.1406E+03,  0.1123E+01
  0.2826E+01,  0.2743E-01,  0.6338E+02,  0.1417E+03,  0.4499E+01
  0.2518E+01,  0.2720E-01,  0.6319E+02,  0.1462E+03,  0.5000E+01
  0.3520E+01,  0.2440E-01,  0.6333E+02,  0.1512E+03,  0.8365E+00
  0.2492E+01,  0.2933E-01,  0.6307E+02,  0.1521E+03,  0.1580E+01
  0.4149E+01,  0.2380E-01,  0.6281E+02,  0.1536E+03,  0.1989E+01
  0.6177E+01,  0.2510E-01,  0.6246E+02,  0.1556E+03,  0.1499E+01
  0.3769E+01,  0.3190E-01,  0.6244E+02,  0.1571E+03,  0.1443E+01
  0.3599E+01,  0.3607E-01,  0.6228E+02,  0.1586E+03,  0.1253E+01
  0.3428E+01,  0.4024E-01,  0.6211E+02,  0.1598E+03,  0.2861E+01
  0.3662E+01,  0.3602E-01,  0.6184E+02,  0.1627E+03,  0.1309E+01
  0.3896E+01,  0.3180E-01,  0.6157E+02,  0.1640E+03,  0.0000E+00
  0.3987E+01,  0.3324E-01,  0.6123E+02,  0.1631E+03,  0.7497E+00
  0.4078E+01,  0.3467E-01,  0.6088E+02,  0.1638E+03,  0.1080E+01
  0.3250E+01,  0.3420E-01,  0.6070E+02,  0.1649E+03,  0.7697E+00
  0.3671E+01,  0.3220E-01,  0.6036E+02,  0.1657E+03,  0.1410E+01
  0.4116E+01,  0.3010E-01,  0.6002E+02,  0.1671E+03,  0.4964E+00
  0.3487E+01,  0.3310E-01,  0.5984E+02,  0.1676E+03,  0.3546E+00
  0.3201E+01,  0.3351E-01,  0.5966E+02,  0.1679E+03,  0.4969E+00
  0.2915E+01,  0.3392E-01,  0.5910E+02,  0.1684E+03,  0.1539E+01
  0.2628E+01,  0.3433E-01,  0.5853E+02,  0.1700E+03,  0.1689E+01
  0.2342E+01,  0.3474E-01,  0.5849E+02,  0.1717E+03,  0.4754E+00
  0.2056E+01,  0.3515E-01,  0.5845E+02,  0.1721E+03,  0.1285E+01
  0.2571E+01,  0.3238E-01,  0.5811E+02,  0.1734E+03,  0.1453E+01
  0.3085E+01,  0.2960E-01,  0.5777E+02,  0.1749E+03,  0.2108E+01
  0.2497E+01,  0.2800E-01,  0.5749E+02,  0.1770E+03,  0.2424E+01
  0.2509E+01,  0.2720E-01,  0.5708E+02,  0.1794E+03,  0.1978E+01
  0.1805E+01,  0.3293E-01,  0.5692E+02,  0.1814E+03,  0.1951E+01
  0.2182E+01,  0.3719E-01,  0.4325E+02,  0.1833E+03,  0.2400E+01
  0.2560E+01,  0.4145E-01,  0.5605E+02,  0.1857E+03,  0.1471E+01
  0.2989E+01,  0.4092E-01,  0.5566E+02,  0.1872E+03,  0.1291E+01
  0.3418E+01,  0.4040E-01,  0.5527E+02,  0.1885E+03,  0.4253E+00
  0.3429E+01,  0.3832E-01,  0.5392E+02,  0.1889E+03,  0.3690E+00
  0.3439E+01,  0.3625E-01,  0.5257E+02,  0.1893E+03,  0.3806E+00
  0.3450E+01,  0.3418E-01,  0.5357E+02,  0.1897E+03,  0.8377E+00
  0.3461E+01,  0.3210E-01,  0.5457E+02,  0.1905E+03,  0.8791E+00
  0.3378E+01,  0.3200E-01,  0.5415E+02,  0.1914E+03,  0.5675E+00
  0.3196E+01,  0.3456E-01,  0.4762E+02,  0.1919E+03,  0.2994E+00
  0.3014E+01,  0.3711E-01,  0.5004E+02,  0.1922E+03,  0.0000E+00
  0.2832E+01,  0.3967E-01,  0.1756E+02,  0.1920E+03,  0.0000E+00
  0.2650E+01,  0.4222E-01,  0.1628E+02,  0.1915E+03,  0.0000E+00
  0.2468E+01,  0.4478E-01,  0.3412E+02,  0.1912E+03,  0.0000E+00
  0.2286E+01,  0.4734E-01,  0.5197E+02,  0.1907E+03,  0.0000E+00
  0.2104E+01,  0.4989E-01,  0.5156E+02,  0.1903E+03,  0.8676E-01
  0.1922E+01,  0.5245E-01,  0.5115E+02,  0.1904E+03,  0.8649E+00
  0.2282E+01,  0.4799E-01,  0.5082E+02,  0.1912E+03,  0.0000E+00
  0.2643E+01,  0.4353E-01,  0.5049E+02,  0.1910E+03,  0.4703E-01
  0.2914E+01,  0.3713E-01,  0.5006E+02,  0.1911E+03,  0.8079E+00
