time    Pop1        Pop2
0.00000 0.30000E+02 0.20000E+01
0.06944 0.30760E+02 0.19593E+01
0.13889 0.31542E+02 0.19204E+01
0.20833 0.32345E+02 0.18834E+01
0.27778 0.33170E+02 0.18481E+01
0.34722 0.34017E+02 0.18145E+01
0.41667 0.34888E+02 0.17826E+01
0.48611 0.35783E+02 0.17523E+01
0.55556 0.36702E+02 0.17236E+01
0.62500 0.37646E+02 0.16965E+01
0.69444 0.38616E+02 0.16709E+01
0.76389 0.39613E+02 0.16469E+01
0.83333 0.40636E+02 0.16243E+01
0.90278 0.41687E+02 0.16032E+01
0.97222 0.42767E+02 0.15835E+01
1.04167 0.43875E+02 0.15653E+01
1.11111 0.45014E+02 0.15485E+01
1.18056 0.46183E+02 0.15330E+01
1.25000 0.47383E+02 0.15190E+01
1.31944 0.48615E+02 0.15064E+01
1.38889 0.49881E+02 0.14952E+01
1.45833 0.51180E+02 0.14854E+01
1.52778 0.52513E+02 0.14770E+01
1.59722 0.53882E+02 0.14701E+01
1.66667 0.55287E+02 0.14645E+01
1.73611 0.56729E+02 0.14605E+01
1.80556 0.58208E+02 0.14579E+01
1.87500 0.59727E+02 0.14569E+01
1.94444 0.61285E+02 0.14574E+01
2.01389 0.62884E+02 0.14595E+01
2.08333 0.64524E+02 0.14632E+01
2.15278 0.66207E+02 0.14687E+01
2.22222 0.67932E+02 0.14759E+01
2.29167 0.69703E+02 0.14850E+01
2.36111 0.71518E+02 0.14960E+01
2.43056 0.73379E+02 0.15089E+01
2.50000 0.75287E+02 0.15240E+01
2.56944 0.77243E+02 0.15413E+01
2.63889 0.79248E+02 0.15610E+01
2.70833 0.81302E+02 0.15831E+01
2.77778 0.83407E+02 0.16079E+01
2.84722 0.85564E+02 0.16354E+01
2.91667 0.87773E+02 0.16660E+01
2.98611 0.90034E+02 0.16998E+01
3.05556 0.92350E+02 0.17370E+01
3.12500 0.94719E+02 0.17779E+01
3.19444 0.97144E+02 0.18228E+01
3.26389 0.99624E+02 0.18721E+01
3.33333 0.10216E+03 0.19260E+01
3.40278 0.10475E+03 0.19850E+01
3.47222 0.10740E+03 0.20495E+01
3.54167 0.11011E+03 0.21201E+01
3.61111 0.11287E+03 0.21973E+01
3.68056 0.11569E+03 0.22817E+01
3.75000 0.11857E+03 0.23740E+01
3.81944 0.12150E+03 0.24751E+01
3.88889 0.12448E+03 0.25857E+01
3.95833 0.12752E+03 0.27070E+01
4.02778 0.13060E+03 0.28400E+01
4.09722 0.13374E+03 0.29859E+01
4.16667 0.13692E+03 0.31463E+01
4.23611 0.14015E+03 0.33226E+01
4.30556 0.14342E+03 0.35168E+01
4.37500 0.14671E+03 0.37308E+01
4.44444 0.15004E+03 0.39669E+01
4.51389 0.15340E+03 0.42278E+01
4.58333 0.15676E+03 0.45164E+01
4.65278 0.16013E+03 0.48359E+01
4.72222 0.16350E+03 0.51903E+01
4.79167 0.16686E+03 0.55836E+01
4.86111 0.17018E+03 0.60206E+01
4.93056 0.17346E+03 0.65068E+01
5.00000 0.17668E+03 0.70481E+01
5.06944 0.17981E+03 0.76513E+01
5.13889 0.18283E+03 0.83239E+01
5.20833 0.18573E+03 0.90743E+01
5.27778 0.18846E+03 0.99117E+01
5.34722 0.19100E+03 0.10846E+02
5.41667 0.19330E+03 0.11889E+02
5.48611 0.19534E+03 0.13051E+02
5.55556 0.19706E+03 0.14346E+02
5.62500 0.19842E+03 0.15787E+02
5.69444 0.19937E+03 0.17386E+02
5.76389 0.19985E+03 0.19156E+02
5.83333 0.19982E+03 0.21111E+02
5.90278 0.19922E+03 0.23259E+02
5.97222 0.19800E+03 0.25610E+02
6.04167 0.19612E+03 0.28168E+02
6.11111 0.19354E+03 0.30934E+02
6.18056 0.19023E+03 0.33903E+02
6.25000 0.18619E+03 0.37061E+02
6.31944 0.18141E+03 0.40390E+02
6.38889 0.17592E+03 0.43862E+02
6.45833 0.16977E+03 0.47439E+02
