#time   N           P           Z
0.00000 0.16000E+01 0.30000E+00 0.10000E+00
0.06944 0.15779E+01 0.32153E+00 0.10056E+00
0.13889 0.15543E+01 0.34446E+00 0.10124E+00
0.20833 0.15291E+01 0.36885E+00 0.10205E+00
0.27778 0.15023E+01 0.39475E+00 0.10300E+00
0.34722 0.14737E+01 0.42221E+00 0.10409E+00
0.41667 0.14434E+01 0.45130E+00 0.10534E+00
0.48611 0.14112E+01 0.48204E+00 0.10675E+00
0.55556 0.13772E+01 0.51448E+00 0.10833E+00
0.62500 0.13413E+01 0.54862E+00 0.11010E+00
0.69444 0.13035E+01 0.58447E+00 0.11206E+00
0.76389 0.12637E+01 0.62203E+00 0.11422E+00
0.83333 0.12221E+01 0.66126E+00 0.11660E+00
0.90278 0.11787E+01 0.70209E+00 0.11921E+00
0.97222 0.11335E+01 0.74445E+00 0.12207E+00
1.04167 0.10866E+01 0.78822E+00 0.12517E+00
1.11111 0.10382E+01 0.83325E+00 0.12855E+00
1.18056 0.98846E+00 0.87934E+00 0.13221E+00
1.25000 0.93758E+00 0.92626E+00 0.13616E+00
1.31944 0.88584E+00 0.97374E+00 0.14042E+00
1.38889 0.83352E+00 0.10215E+01 0.14501E+00
1.45833 0.78098E+00 0.10691E+01 0.14993E+00
1.52778 0.72860E+00 0.11162E+01 0.15520E+00
1.59722 0.67677E+00 0.11624E+01 0.16084E+00
1.66667 0.62594E+00 0.12072E+01 0.16686E+00
1.73611 0.57654E+00 0.12502E+01 0.17327E+00
1.80556 0.52899E+00 0.12909E+01 0.18008E+00
1.87500 0.48369E+00 0.13290E+01 0.18731E+00
1.94444 0.44102E+00 0.13640E+01 0.19497E+00
2.01389 0.40125E+00 0.13957E+01 0.20306E+00
2.08333 0.36464E+00 0.14238E+01 0.21161E+00
2.15278 0.33131E+00 0.14481E+01 0.22062E+00
2.22222 0.30133E+00 0.14686E+01 0.23010E+00
2.29167 0.27469E+00 0.14853E+01 0.24006E+00
2.36111 0.25129E+00 0.14982E+01 0.25051E+00
2.43056 0.23098E+00 0.15076E+01 0.26147E+00
2.50000 0.21356E+00 0.15135E+01 0.27294E+00
2.56944 0.19882E+00 0.15162E+01 0.28493E+00
2.63889 0.18650E+00 0.15160E+01 0.29746E+00
2.70833 0.17637E+00 0.15131E+01 0.31053E+00
2.77778 0.16819E+00 0.15077E+01 0.32415E+00
2.84722 0.16172E+00 0.14999E+01 0.33833E+00
2.91667 0.15678E+00 0.14901E+01 0.35309E+00
2.98611 0.15316E+00 0.14784E+01 0.36842E+00
3.05556 0.15072E+00 0.14649E+01 0.38433E+00
3.12500 0.14931E+00 0.14498E+01 0.40084E+00
3.19444 0.14881E+00 0.14332E+01 0.41794E+00
3.26389 0.14912E+00 0.14152E+01 0.43564E+00
3.33333 0.15014E+00 0.13959E+01 0.45394E+00
3.40278 0.15182E+00 0.13753E+01 0.47284E+00
3.47222 0.15409E+00 0.13536E+01 0.49233E+00
3.54167 0.15690E+00 0.13307E+01 0.51241E+00
3.61111 0.16022E+00 0.13067E+01 0.53307E+00
3.68056 0.16402E+00 0.12817E+01 0.55429E+00
3.75000 0.16828E+00 0.12557E+01 0.57606E+00
3.81944 0.17297E+00 0.12287E+01 0.59836E+00
3.88889 0.17808E+00 0.12008E+01 0.62115E+00
3.95833 0.18361E+00 0.11720E+01 0.64442E+00
4.02778 0.18956E+00 0.11423E+01 0.66811E+00
4.09722 0.19591E+00 0.11119E+01 0.69219E+00
4.16667 0.20266E+00 0.10807E+01 0.71660E+00
4.23611 0.20982E+00 0.10489E+01 0.74130E+00
4.30556 0.21739E+00 0.10164E+01 0.76622E+00
4.37500 0.22537E+00 0.98334E+00 0.79130E+00
4.44444 0.23375E+00 0.94980E+00 0.81645E+00
4.51389 0.24254E+00 0.91586E+00 0.84160E+00
4.58333 0.25174E+00 0.88160E+00 0.86666E+00
4.65278 0.26134E+00 0.84712E+00 0.89154E+00
4.72222 0.27135E+00 0.81250E+00 0.91615E+00
4.79167 0.28175E+00 0.77787E+00 0.94038E+00
4.86111 0.29255E+00 0.74332E+00 0.96413E+00
4.93056 0.30373E+00 0.70897E+00 0.98730E+00
5.00000 0.31527E+00 0.67493E+00 0.10098E+01
5.06944 0.32718E+00 0.64132E+00 0.10315E+01
5.13889 0.33943E+00 0.60825E+00 0.10523E+01
5.20833 0.35201E+00 0.57582E+00 0.10722E+01
5.27778 0.36490E+00 0.54415E+00 0.10910E+01
5.34722 0.37807E+00 0.51332E+00 0.11086E+01
5.41667 0.39151E+00 0.48343E+00 0.11251E+01
5.48611 0.40520E+00 0.45457E+00 0.11402E+01
5.55556 0.41911E+00 0.42678E+00 0.11541E+01
5.62500 0.43323E+00 0.40014E+00 0.11666E+01
5.69444 0.44752E+00 0.37468E+00 0.11778E+01
5.76389 0.46196E+00 0.35044E+00 0.11876E+01
5.83333 0.47655E+00 0.32744E+00 0.11960E+01
5.90278 0.49125E+00 0.30567E+00 0.12031E+01
5.97222 0.50604E+00 0.28515E+00 0.12088E+01
6.04167 0.52091E+00 0.26584E+00 0.12132E+01
6.11111 0.53584E+00 0.24773E+00 0.12164E+01
6.18056 0.55081E+00 0.23079E+00 0.12184E+01
6.25000 0.56581E+00 0.21497E+00 0.12192E+01
6.31944 0.58082E+00 0.20023E+00 0.12189E+01
6.38889 0.59583E+00 0.18653E+00 0.12176E+01
6.45833 0.61083E+00 0.17380E+00 0.12154E+01
6.52778 0.62581E+00 0.16201E+00 0.12122E+01
6.59722 0.64076E+00 0.15109E+00 0.12082E+01
6.66667 0.65567E+00 0.14099E+00 0.12033E+01
6.73611 0.67052E+00 0.13165E+00 0.11978E+01
6.80556 0.68532E+00 0.12304E+00 0.11916E+01
6.87500 0.70006E+00 0.11509E+00 0.11849E+01
6.94444 0.71472E+00 0.10775E+00 0.11775E+01
7.01389 0.72930E+00 0.10099E+00 0.11697E+01
7.08333 0.74380E+00 0.94758E-01 0.11614E+01
7.15278 0.75821E+00 0.89013E-01 0.11528E+01
7.22222 0.77253E+00 0.83718E-01 0.11438E+01
7.29167 0.78675E+00 0.78838E-01 0.11344E+01
7.36111 0.80087E+00 0.74339E-01 0.11248E+01
7.43056 0.81488E+00 0.70191E-01 0.11149E+01
7.50000 0.82878E+00 0.66365E-01 0.11049E+01
7.56944 0.84257E+00 0.62835E-01 0.10946E+01
7.63889 0.85624E+00 0.59578E-01 0.10842E+01
7.70833 0.86980E+00 0.56571E-01 0.10736E+01
7.77778 0.88323E+00 0.53793E-01 0.10630E+01
7.84722 0.89654E+00 0.51228E-01 0.10522E+01
7.91667 0.90973E+00 0.48856E-01 0.10414E+01
7.98611 0.92279E+00 0.46664E-01 0.10305E+01
8.05556 0.93572E+00 0.44636E-01 0.10196E+01
8.12500 0.94852E+00 0.42760E-01 0.10087E+01
8.19444 0.96119E+00 0.41024E-01 0.99779E+00
8.26389 0.97373E+00 0.39417E-01 0.98686E+00
8.33333 0.98613E+00 0.37929E-01 0.97594E+00
8.40278 0.99840E+00 0.36551E-01 0.96505E+00
8.47222 0.10105E+01 0.35275E-01 0.95419E+00
8.54167 0.10225E+01 0.34093E-01 0.94337E+00
8.61111 0.10344E+01 0.32999E-01 0.93260E+00
8.68056 0.10461E+01 0.31987E-01 0.92188E+00
8.75000 0.10577E+01 0.31050E-01 0.91122E+00
8.81944 0.10692E+01 0.30184E-01 0.90063E+00
8.88889 0.10805E+01 0.29383E-01 0.89011E+00
8.95833 0.10917E+01 0.28644E-01 0.87967E+00
9.02778 0.11027E+01 0.27962E-01 0.86930E+00
9.09722 0.11137E+01 0.27333E-01 0.85902E+00
9.16667 0.11244E+01 0.26756E-01 0.84882E+00
9.23611 0.11351E+01 0.26226E-01 0.83871E+00
9.30556 0.11456E+01 0.25741E-01 0.82869E+00
9.37500 0.11559E+01 0.25298E-01 0.81876E+00
9.44444 0.11662E+01 0.24895E-01 0.80893E+00
9.51389 0.11763E+01 0.24531E-01 0.79919E+00
9.58333 0.11862E+01 0.24203E-01 0.78955E+00
9.65278 0.11961E+01 0.23909E-01 0.78001E+00
9.72222 0.12058E+01 0.23648E-01 0.77057E+00
9.79167 0.12153E+01 0.23419E-01 0.76123E+00
9.86111 0.12248E+01 0.23220E-01 0.75200E+00
9.93056 0.12341E+01 0.23051E-01 0.74286E+00
10.00000 0.12433E+01 0.22910E-01 0.73383E+00
10.06944 0.12523E+01 0.22797E-01 0.72490E+00
10.13889 0.12612E+01 0.22710E-01 0.71608E+00
10.20833 0.12700E+01 0.22650E-01 0.70736E+00
10.27778 0.12786E+01 0.22615E-01 0.69874E+00
10.34722 0.12872E+01 0.22606E-01 0.69023E+00
10.41667 0.12956E+01 0.22621E-01 0.68182E+00
10.48611 0.13038E+01 0.22661E-01 0.67351E+00
10.55556 0.13120E+01 0.22725E-01 0.66531E+00
10.62500 0.13200E+01 0.22813E-01 0.65721E+00
10.69444 0.13279E+01 0.22925E-01 0.64921E+00
10.76389 0.13356E+01 0.23062E-01 0.64132E+00
10.83333 0.13432E+01 0.23222E-01 0.63353E+00
10.90278 0.13507E+01 0.23407E-01 0.62584E+00
10.97222 0.13581E+01 0.23617E-01 0.61826E+00
11.04167 0.13654E+01 0.23851E-01 0.61077E+00
11.11111 0.13725E+01 0.24111E-01 0.60339E+00
11.18056 0.13795E+01 0.24396E-01 0.59611E+00
11.25000 0.13864E+01 0.24708E-01 0.58893E+00
11.31944 0.13931E+01 0.25046E-01 0.58185E+00
11.38889 0.13997E+01 0.25412E-01 0.57486E+00
11.45833 0.14062E+01 0.25806E-01 0.56798E+00
11.52778 0.14126E+01 0.26229E-01 0.56120E+00
11.59722 0.14188E+01 0.26681E-01 0.55451E+00
11.66667 0.14249E+01 0.27164E-01 0.54792E+00
11.73611 0.14309E+01 0.27679E-01 0.54143E+00
11.80556 0.14367E+01 0.28226E-01 0.53504E+00
11.87500 0.14425E+01 0.28808E-01 0.52874E+00
11.94444 0.14480E+01 0.29425E-01 0.52254E+00
12.01389 0.14535E+01 0.30078E-01 0.51644E+00
12.08333 0.14588E+01 0.30769E-01 0.51043E+00
12.15278 0.14640E+01 0.31500E-01 0.50451E+00
12.22222 0.14690E+01 0.32272E-01 0.49869E+00
12.29167 0.14739E+01 0.33087E-01 0.49297E+00
12.36111 0.14787E+01 0.33946E-01 0.48734E+00
12.43056 0.14833E+01 0.34852E-01 0.48180E+00
12.50000 0.14878E+01 0.35807E-01 0.47636E+00
12.56944 0.14922E+01 0.36813E-01 0.47102E+00
12.63889 0.14964E+01 0.37873E-01 0.46576E+00
12.70833 0.15004E+01 0.38988E-01 0.46060E+00
12.77778 0.15043E+01 0.40162E-01 0.45554E+00
12.84722 0.15080E+01 0.41397E-01 0.45056E+00
12.91667 0.15116E+01 0.42696E-01 0.44568E+00
12.98611 0.15150E+01 0.44062E-01 0.44090E+00
13.05556 0.15183E+01 0.45498E-01 0.43621E+00
13.12500 0.15214E+01 0.47009E-01 0.43161E+00
13.19444 0.15243E+01 0.48596E-01 0.42711E+00
13.26389 0.15270E+01 0.50265E-01 0.42270E+00
13.33333 0.15296E+01 0.52020E-01 0.41839E+00
13.40278 0.15320E+01 0.53864E-01 0.41417E+00
13.47222 0.15341E+01 0.55801E-01 0.41005E+00
13.54167 0.15361E+01 0.57838E-01 0.40603E+00
13.61111 0.15379E+01 0.59977E-01 0.40210E+00
13.68056 0.15395E+01 0.62225E-01 0.39827E+00
13.75000 0.15409E+01 0.64588E-01 0.39454E+00
13.81944 0.15420E+01 0.67069E-01 0.39091E+00
13.88889 0.15429E+01 0.69676E-01 0.38738E+00
13.95833 0.15436E+01 0.72415E-01 0.38396E+00
14.02778 0.15441E+01 0.75292E-01 0.38063E+00
14.09722 0.15443E+01 0.78314E-01 0.37741E+00
14.16667 0.15442E+01 0.81488E-01 0.37429E+00
14.23611 0.15439E+01 0.84821E-01 0.37128E+00
14.30556 0.15433E+01 0.88322E-01 0.36838E+00
14.37500 0.15424E+01 0.91997E-01 0.36559E+00
14.44444 0.15412E+01 0.95856E-01 0.36291E+00
14.51389 0.15397E+01 0.99907E-01 0.36035E+00
14.58333 0.15379E+01 0.10416E+00 0.35790E+00
14.65278 0.15358E+01 0.10862E+00 0.35557E+00
14.72222 0.15333E+01 0.11330E+00 0.35336E+00
14.79167 0.15305E+01 0.11821E+00 0.35128E+00
14.86111 0.15273E+01 0.12336E+00 0.34932E+00
14.93056 0.15237E+01 0.12877E+00 0.34749E+00
15.00000 0.15198E+01 0.13443E+00 0.34579E+00
15.06944 0.15154E+01 0.14036E+00 0.34423E+00
15.13889 0.15106E+01 0.14658E+00 0.34280E+00
15.20833 0.15054E+01 0.15309E+00 0.34152E+00
15.27778 0.14997E+01 0.15991E+00 0.34039E+00
15.34722 0.14936E+01 0.16705E+00 0.33940E+00
15.41667 0.14869E+01 0.17451E+00 0.33858E+00
15.48611 0.14798E+01 0.18231E+00 0.33791E+00
15.55556 0.14721E+01 0.19047E+00 0.33740E+00
