time    Pop1        Pop2        Pop3        Pop4        Pop5        Pop6        Pop7
0.00000 0.20000E+00 0.10000E+00 0.10000E+00 0.10000E+00 0.10000E+00 0.10000E+00 0.10000E+00
0.25000 0.20225E+00 0.99208E-01 0.93968E-01 0.99292E-01 0.11018E+00 0.98037E-01 0.97901E-01
0.50000 0.20425E+00 0.98124E-01 0.87602E-01 0.98624E-01 0.12064E+00 0.96545E-01 0.95893E-01
0.75000 0.20625E+00 0.96976E-01 0.80982E-01 0.98004E-01 0.13122E+00 0.95117E-01 0.93984E-01
1.00000 0.20849E+00 0.95998E-01 0.74209E-01 0.97423E-01 0.14172E+00 0.93374E-01 0.92173E-01
1.25000 0.21071E+00 0.95108E-01 0.67432E-01 0.96879E-01 0.15195E+00 0.91698E-01 0.90464E-01
1.50000 0.21268E+00 0.94233E-01 0.60801E-01 0.96369E-01 0.16172E+00 0.90450E-01 0.88852E-01
1.75000 0.21465E+00 0.93589E-01 0.54417E-01 0.95897E-01 0.17083E+00 0.89244E-01 0.87335E-01
2.00000 0.21686E+00 0.93380E-01 0.48373E-01 0.95452E-01 0.17915E+00 0.87722E-01 0.85906E-01
2.25000 0.21904E+00 0.93504E-01 0.42774E-01 0.95029E-01 0.18654E+00 0.86249E-01 0.84557E-01
2.50000 0.22099E+00 0.93847E-01 0.37696E-01 0.94624E-01 0.19296E+00 0.85168E-01 0.83281E-01
2.75000 0.22294E+00 0.94552E-01 0.33149E-01 0.94239E-01 0.19838E+00 0.84116E-01 0.82068E-01
3.00000 0.22511E+00 0.95751E-01 0.29123E-01 0.93862E-01 0.20281E+00 0.82749E-01 0.80909E-01
3.25000 0.22727E+00 0.97286E-01 0.25622E-01 0.93490E-01 0.20631E+00 0.81417E-01 0.79796E-01
3.50000 0.22919E+00 0.98991E-01 0.22629E-01 0.93121E-01 0.20895E+00 0.80457E-01 0.78721E-01
3.75000 0.23111E+00 0.10096E+00 0.20081E-01 0.92756E-01 0.21083E+00 0.79518E-01 0.77676E-01
4.00000 0.23325E+00 0.10331E+00 0.17917E-01 0.92387E-01 0.21203E+00 0.78263E-01 0.76657E-01
4.25000 0.23538E+00 0.10585E+00 0.16104E-01 0.92013E-01 0.21265E+00 0.77037E-01 0.75659E-01
4.50000 0.23728E+00 0.10842E+00 0.14612E-01 0.91631E-01 0.21278E+00 0.76171E-01 0.74676E-01
4.75000 0.23918E+00 0.11111E+00 0.13374E-01 0.91247E-01 0.21251E+00 0.75321E-01 0.73705E-01
5.00000 0.24129E+00 0.11404E+00 0.12337E-01 0.90854E-01 0.21190E+00 0.74156E-01 0.72743E-01
5.25000 0.24338E+00 0.11705E+00 0.11484E-01 0.90450E-01 0.21102E+00 0.73015E-01 0.71789E-01
5.50000 0.24526E+00 0.11998E+00 0.10801E-01 0.90037E-01 0.20992E+00 0.72228E-01 0.70840E-01
5.75000 0.24714E+00 0.12293E+00 0.10239E-01 0.89619E-01 0.20867E+00 0.71454E-01 0.69896E-01
6.00000 0.24922E+00 0.12606E+00 0.97647E-02 0.89190E-01 0.20727E+00 0.70366E-01 0.68955E-01
6.25000 0.25128E+00 0.12920E+00 0.93769E-02 0.88751E-01 0.20578E+00 0.69300E-01 0.68018E-01
6.50000 0.25314E+00 0.13219E+00 0.90769E-02 0.88302E-01 0.20421E+00 0.68581E-01 0.67083E-01
6.75000 0.25499E+00 0.13517E+00 0.88302E-02 0.87849E-01 0.20260E+00 0.67873E-01 0.66150E-01
7.00000 0.25704E+00 0.13829E+00 0.86143E-02 0.87386E-01 0.20094E+00 0.66854E-01 0.65219E-01
7.25000 0.25907E+00 0.14139E+00 0.84381E-02 0.86914E-01 0.19927E+00 0.65855E-01 0.64291E-01
7.50000 0.26091E+00 0.14431E+00 0.83109E-02 0.86433E-01 0.19758E+00 0.65197E-01 0.63365E-01
7.75000 0.26274E+00 0.14720E+00 0.82054E-02 0.85950E-01 0.19590E+00 0.64549E-01 0.62442E-01
8.00000 0.26476E+00 0.15022E+00 0.81047E-02 0.85459E-01 0.19422E+00 0.63592E-01 0.61522E-01
8.25000 0.26676E+00 0.15320E+00 0.80223E-02 0.84960E-01 0.19254E+00 0.62653E-01 0.60605E-01
8.50000 0.26858E+00 0.15600E+00 0.79710E-02 0.84454E-01 0.19089E+00 0.62050E-01 0.59692E-01
8.75000 0.27039E+00 0.15876E+00 0.79272E-02 0.83946E-01 0.18925E+00 0.61456E-01 0.58782E-01
9.00000 0.27238E+00 0.16165E+00 0.78766E-02 0.83433E-01 0.18764E+00 0.60557E-01 0.57877E-01
9.25000 0.27435E+00 0.16449E+00 0.78346E-02 0.82914E-01 0.18605E+00 0.59673E-01 0.56977E-01
9.50000 0.27614E+00 0.16715E+00 0.78154E-02 0.82389E-01 0.18448E+00 0.59120E-01 0.56081E-01
9.75000 0.27793E+00 0.16976E+00 0.77975E-02 0.81865E-01 0.18294E+00 0.58575E-01 0.55191E-01
10.00000 0.27989E+00 0.17250E+00 0.77675E-02 0.81336E-01 0.18142E+00 0.57728E-01 0.54306E-01
10.25000 0.28183E+00 0.17520E+00 0.77417E-02 0.80803E-01 0.17993E+00 0.56896E-01 0.53427E-01
10.50000 0.28361E+00 0.17771E+00 0.77349E-02 0.80266E-01 0.17847E+00 0.56389E-01 0.52554E-01
10.75000 0.28537E+00 0.18018E+00 0.77265E-02 0.79730E-01 0.17703E+00 0.55888E-01 0.51688E-01
11.00000 0.28730E+00 0.18277E+00 0.77039E-02 0.79191E-01 0.17562E+00 0.55089E-01 0.50828E-01
